Model,MAE,RMSE,MAPE,R2
"ARIMA(2,1,2)",2.27,7.25,2.077,0.9336
SVR (RBF),13.711,18.716,7.803,0.977
Random Forest,13.74,17.8,9.517,0.9792
LSTM,14.411999702453613,18.268999099731445,9.292,0.978
GRU,14.720999717712402,18.527999877929688,9.282,0.9774
CNN-LSTM,10.888999938964844,14.185999870300293,6.714,0.9868
CNN-BiLSTM (Ours),9.741999626159668,13.833999633789062,5.996,0.9874
w/o CNN (BiLSTM only),13.854000091552734,18.010000228881836,8.471,0.9787
w/o BiDir (CNN-LSTM),10.854000091552734,14.003000259399414,7.189,0.9871
w/o BatchNorm,12.381999969482422,16.222000122070312,7.406,0.9827
